,generic_name,lexi_generic_id,split_by_space,,,,,,,catgs
108,CHORIOGONADOTROPIN ALFA,None,CHORIOGONADOTROPIN,ALFA,,,,,,
109,IRINOTECAN HYDROCHLORIDE,None,IRINOTECAN,HYDROCHLORIDE,,,,,,
111,DIPHENHYDRAMINE HYDROCHLORIDE,None,DIPHENHYDRAMINE,HYDROCHLORIDE,,,,,,
112,VITAMIN B1,None,VITAMIN,B1,,,,,,
114,METFORMIN HYDROCHLORIDE,None,METFORMIN,HYDROCHLORIDE,,,,,,
116,LEVOTHYROXINE SODIUM,None,LEVOTHYROXINE,SODIUM,,,,,,
129,CONTRACEPTIVE DE,None,CONTRACEPTIVE,DE,,,,,,
133,METFORMIN HYDROCHLORIDE,None,METFORMIN,HYDROCHLORIDE,,,,,,
142,METFORMIN HYDROCHLORIDE,None,METFORMIN,HYDROCHLORIDE,,,,,,
147,CONJUGATED ESTROGENS,None,CONJUGATED,ESTROGENS,,,,,,
149,METFORMIN HYDROCHLORIDE,None,METFORMIN,HYDROCHLORIDE,,,,,,
155,METFORMIN HYDROCHLORIDE,None,METFORMIN,HYDROCHLORIDE,,,,,,
159,MEBEVERINE HYDROCHLORIDE,None,MEBEVERINE,HYDROCHLORIDE,,,,,,
168,DOXORUBICIN HYDROCHLORIDE,None,DOXORUBICIN,HYDROCHLORIDE,,,,,,
175,METFORMIN HYDROCHLORIDE,None,METFORMIN,HYDROCHLORIDE,,,,,,
177,LITHIUM CARBONATE,None,LITHIUM,CARBONATE,,,,,,
180,BETAHISTINE DIHYDROCHLORIDE,None,BETAHISTINE,DIHYDROCHLORIDE,,,,,,
183,MEDROXYPROGESTERONE ACETATE,None,MEDROXYPROGESTERONE,ACETATE,,,,,,
199,EXPECTORANT CODEINE,None,EXPECTORANT,CODEINE,,,,,,
200,CYPROHEPTADINE HYDROCHLORIDE,None,CYPROHEPTADINE,HYDROCHLORIDE,,,,,,
203,ANTIHISTAMINE DECONGESTANT,None,ANTIHISTAMINE,DECONGESTANT,,,,,,
206,ALUMINIUM HYDROXIDE,None,ALUMINIUM,HYDROXIDE,,,,,,
212,ASA,None,ASA,,,,,,,
214,HYDRALAZINE HYDROCHLORIDE,None,HYDRALAZINE,HYDROCHLORIDE,,,,,,
216,DICLOFENAC SODIUM,None,DICLOFENAC,SODIUM,,,,,,
218,METFORMIN HYDROCHLORIDE,None,METFORMIN,HYDROCHLORIDE,,,,,,
219,GLIBENCLAMIDE,None,GLIBENCLAMIDE,,,,,,,
220,ALUMINIUM HYDROXIDE,None,ALUMINIUM,HYDROXIDE,,,,,,
223,TRIAMCINOLONE NN,None,TRIAMCINOLONE,NN,,,,,,
225,MEGESTROL ACETATE,None,MEGESTROL,ACETATE,,,,,,
231,CODEINE PHOSPHATE,None,CODEINE,PHOSPHATE,,,,,,
233,FEXOFENADINE HYDROCHLORIDE,None,FEXOFENADINE,HYDROCHLORIDE,,,,,,
235,CODEINE PHOSPHATE,None,CODEINE,PHOSPHATE,,,,,,
238,CLOBETASOL PROPIONATE,None,CLOBETASOL,PROPIONATE,,,,,,
241,ALUMINIUM HYDROXIDE,None,ALUMINIUM,HYDROXIDE,,,,,,
249,DOXORUBICIN HYDROCHLORIDE,None,DOXORUBICIN,HYDROCHLORIDE,,,,,,
254,DOXORUBICIN HYDROCHLORIDE,None,DOXORUBICIN,HYDROCHLORIDE,,,,,,
258,LOSARTAN POTASSIUM,None,LOSARTAN,POTASSIUM,,,,,,
260,FEXOFENADINE HYDROCHLORIDE,None,FEXOFENADINE,HYDROCHLORIDE,,,,,,
262,PROPRANOLOL HYDROCHLORIDE,None,PROPRANOLOL,HYDROCHLORIDE,,,,,,
269,CO-AMOXICLAV,None,CO-AMOXICLAV,,,,,,,
271,FLUTICASONE PROPIONATE,None,FLUTICASONE,PROPIONATE,,,,,,
274,METOPROLOL TARTRATE,None,METOPROLOL,TARTRATE,,,,,,
275,HYOSCINE-N-BUTYL BROMIDE,None,HYOSCINE-N-BUTYL,BROMIDE,,,,,,
276,CO-AMOXICLAV,None,CO-AMOXICLAV,,,,,,,
277,FLECAINIDE ACETATE,None,FLECAINIDE,ACETATE,,,,,,
280,HYDROCORTISONE ACETATE,None,HYDROCORTISONE,ACETATE,,,,,,
281,DICYCLOMINE HYDROCHLORIDE,None,DICYCLOMINE,HYDROCHLORIDE,,,,,,
285,METHYLPHENIDATE HYDROCHLORIDE,None,METHYLPHENIDATE,HYDROCHLORIDE,,,,,,
288,DEXTROMETHORPHAN HYDROBROMIDE,None,DEXTROMETHORPHAN,HYDROBROMIDE,,,,,,
289,FLUOCINOLONE ACETONIDE,None,FLUOCINOLONE,ACETONIDE,,,,,,
293,CLOMIPHENE CITRATE,None,CLOMIPHENE,CITRATE,,,,,,
294,HEPARIN SODIUM,None,HEPARIN,SODIUM,,,,,,
299,PEDIATRIC GRIPPE,None,PEDIATRIC,GRIPPE,,,,,,
301,FLUTICASONE PROPIONATE,None,FLUTICASONE,PROPIONATE,,,,,,
302,TRIAMCINOLONE ACETONIDE,None,TRIAMCINOLONE,ACETONIDE,,,,,,
304,HYDRALAZINE HYDROCHLORIDE,None,HYDRALAZINE,HYDROCHLORIDE,,,,,,
306,CO-AMOXICLAV,None,CO-AMOXICLAV,,,,,,,
307,GLIBENCLAMIDE,None,GLIBENCLAMIDE,,,,,,,
308,PROPRANOLOL HYDROCHLORIDE,None,PROPRANOLOL,HYDROCHLORIDE,,,,,,
309,CO-AMOXICLAV,None,CO-AMOXICLAV,,,,,,,
311,LIDOCAINE HYDROCHLORIDE,None,LIDOCAINE,HYDROCHLORIDE,,,,,,
312,BETHANECHOL CHLORIDE,None,BETHANECHOL,CHLORIDE,,,,,,
313,VITAMIN D3,None,VITAMIN,D3,,,,,,
318,VITAMIN D,None,VITAMIN,D,,,,,,
325,EXPECTORANT,None,EXPECTORANT,,,,,,,
327,DICLOFENAC SODIUM,None,DICLOFENAC,SODIUM,,,,,,
329,MESALAZINE,None,MESALAZINE,,,,,,,
330,CO-AMOXICLAV,None,CO-AMOXICLAV,,,,,,,
331,ATRACURIUM BESYLATE,None,ATRACURIUM,BESYLATE,,,,,,
332,CO-AMOXICLAV,None,CO-AMOXICLAV,,,,,,,
339,CO-TRIMOXAZOLE,None,CO-TRIMOXAZOLE,,,,,,,
340,PROPRANOLOL HYDROCHLORIDE,None,PROPRANOLOL,HYDROCHLORIDE,,,,,,
344,TRIAMCINOLONE ACETONIDE,None,TRIAMCINOLONE,ACETONIDE,,,,,,
346,BROMHEXINE HYDROCHLORIDE,None,BROMHEXINE,HYDROCHLORIDE,,,,,,
348,FLUOCINOLONE ACETONIDE,None,FLUOCINOLONE,ACETONIDE,,,,,,
349,ROPIVACAINE HYDROCHLORIDE,None,ROPIVACAINE,HYDROCHLORIDE,,,,,,
350,DEXTROMETHORPHAN HYDROBROMIDE,None,DEXTROMETHORPHAN,HYDROBROMIDE,,,,,,
351,MILRINONE LACTATE,None,MILRINONE,LACTATE,,,,,,
353,ASA,None,ASA,,,,,,,
354,CLOBETASOL PROPIONATE,None,CLOBETASOL,PROPIONATE,,,,,,
355,ANTIHEMORRHOID,None,ANTIHEMORRHOID,,,,,,,
359,VITAMIN B6,None,VITAMIN,B6,,,,,,
361,VITAMIN B12,None,VITAMIN,B12,,,,,,
364,HYDROXYZINE HYDROCHLORIDE,None,HYDROXYZINE,HYDROCHLORIDE,,,,,,
365,METFORMIN HYDROCHLORIDE,None,METFORMIN,HYDROCHLORIDE,,,,,,
366,GLIBENCLAMIDE,None,GLIBENCLAMIDE,,,,,,,
371,BROMHEXINE HYDROCHLORIDE,None,BROMHEXINE,HYDROCHLORIDE,,,,,,
373,HYDRALAZINE HYDROCHLORIDE,None,HYDRALAZINE,HYDROCHLORIDE,,,,,,
374,HYOSCINE-N-BUTYL BROMIDE,None,HYOSCINE-N-BUTYL,BROMIDE,,,,,,
375,MOMETASONE FUROATE,None,MOMETASONE,FUROATE,,,,,,
377,CO-AMOXICLAV,None,CO-AMOXICLAV,,,,,,,
380,MOMETASONE FUROATE,None,MOMETASONE,FUROATE,,,,,,
382,CHLORPHENIRAMINE MALEATE,None,CHLORPHENIRAMINE,MALEATE,,,,,,
384,HYDROCORTISONE ACETATE,None,HYDROCORTISONE,ACETATE,,,,,,
387,IMIPRAMINE HYDROCHLORIDE,None,IMIPRAMINE,HYDROCHLORIDE,,,,,,
389,NEOSTIGMINE METHYLSULFATE,None,NEOSTIGMINE,METHYLSULFATE,,,,,,
390,SALBUTAMOL,None,SALBUTAMOL,,,,,,,
391,SALBUTAMOL,None,SALBUTAMOL,,,,,,,
392,CEFALEXIN,None,CEFALEXIN,,,,,,,
393,LABETALOL HYDROCHLORIDE,None,LABETALOL,HYDROCHLORIDE,,,,,,
396,CETIRIZINE HYDROCHLORIDE,None,CETIRIZINE,HYDROCHLORIDE,,,,,,
399,DICLOFENAC SODIUM,None,DICLOFENAC,SODIUM,,,,,,
403,HYDROCORTISONE ACETATE,None,HYDROCORTISONE,ACETATE,,,,,,
404,CLOMIPRAMINE HYDROCHLORIDE,None,CLOMIPRAMINE,HYDROCHLORIDE,,,,,,
408,ANTIHEMORRHOID,None,ANTIHEMORRHOID,,,,,,,
416,DEXTROMETHORPHAN HYDROBROMIDE,None,DEXTROMETHORPHAN,HYDROBROMIDE,,,,,,
417,VITAMIN B6,None,VITAMIN,B6,,,,,,
420,CEFALEXIN,None,CEFALEXIN,,,,,,,
427,ROPIVACAINE HYDROCHLORIDE,None,ROPIVACAINE,HYDROCHLORIDE,,,,,,
433,CLOMIPRAMINE HYDROCHLORIDE,None,CLOMIPRAMINE,HYDROCHLORIDE,,,,,,
434,BIPERIDEN HYDROCHLORIDE,None,BIPERIDEN,HYDROCHLORIDE,,,,,,
437,LEVAMISOLE,None,LEVAMISOLE,,,,,,,
439,FORMOTEROL FUMARATE,None,FORMOTEROL,FUMARATE,,,,,,
446,DICYCLOMINE HYDROCHLORIDE,None,DICYCLOMINE,HYDROCHLORIDE,,,,,,
447,IMIPRAMINE HYDROCHLORIDE,None,IMIPRAMINE,HYDROCHLORIDE,,,,,,
448,AMANTADINE HYDROCHLORIDE,None,AMANTADINE,HYDROCHLORIDE,,,,,,
451,FEXOFENADINE HYDROCHLORIDE,None,FEXOFENADINE,HYDROCHLORIDE,,,,,,
453,KETOROLAC TROMETAMOL,None,KETOROLAC,TROMETAMOL,,,,,,
458,BETAMETHASONE LA (BETAMETHASONE AS DISODIUM PHOSPHATE,None,BETAMETHASONE,LA,(BETAMETHASONE,AS,DISODIUM,PHOSPHATE,,
459,BETAMETHASONE ACETATE),None,BETAMETHASONE,ACETATE),,,,,,
462,L-CARNITINE,None,L-CARNITINE,,,,,,,
464,AMIODARONE HYDROCHLORIDE,None,AMIODARONE,HYDROCHLORIDE,,,,,,
466,TRIHEXYPHENIDYL HYDROCHLORIDE,None,TRIHEXYPHENIDYL,HYDROCHLORIDE,,,,,,
470,VARENICLINE TARTRATE,None,VARENICLINE,TARTRATE,,,,,,
473,METFORMIN HYDROCHLORIDE,None,METFORMIN,HYDROCHLORIDE,,,,,,
475,ORS,None,ORS,,,,,,,
477,POVIDONE IODINE,None,POVIDONE,IODINE,,,,,,
478,PSEUDOEPHEDRINE HYDROCHLORIDE,None,PSEUDOEPHEDRINE,HYDROCHLORIDE,,,,,,
480,SERTACONAZOLE NITRATE,None,SERTACONAZOLE,NITRATE,,,,,,
481,HYDROXYCHLOROQUINE SULFATE,None,HYDROXYCHLOROQUINE,SULFATE,,,,,,
482,PHENYTOIN SODIUM,None,PHENYTOIN,SODIUM,,,,,,
483,PENICILLIN 6-3-3,None,PENICILLIN,6/3/2003,,,,,,
484,METOCLOPRAMIDE HYDROCHLORIDE,None,METOCLOPRAMIDE,HYDROCHLORIDE,,,,,,
488,METFORMIN HYDROCHLORIDE,None,METFORMIN,HYDROCHLORIDE,,,,,,
490,PROMETHAZINE HYDROCHLORIDE,None,PROMETHAZINE,HYDROCHLORIDE,,,,,,
492,LOPERAMIDE HYDROCHLORIDE,None,LOPERAMIDE,HYDROCHLORIDE,,,,,,
493,DICLOFENAC SODIUM,None,DICLOFENAC,SODIUM,,,,,,
494,POVIDONE IODINE,None,POVIDONE,IODINE,,,,,,
495,CEFALEXIN,None,CEFALEXIN,,,,,,,
497,ATROPINE SULFATE,None,ATROPINE,SULFATE,,,,,,
499,DICYCLOMINE HYDROCHLORIDE,None,DICYCLOMINE,HYDROCHLORIDE,,,,,,
501,CO-TRIMOXAZOLE,None,CO-TRIMOXAZOLE,,,,,,,
504,ROPIVACAINE HYDROCHLORIDE,None,ROPIVACAINE,HYDROCHLORIDE,,,,,,
506,CYPROHEPTADINE HYDROCHLORIDE,None,CYPROHEPTADINE,HYDROCHLORIDE,,,,,,
507,DICLOFENAC POTASSIUM,None,DICLOFENAC,POTASSIUM,,,,,,
513,CO-TRIMOXAZOLE,None,CO-TRIMOXAZOLE,,,,,,,
514,PILOCARPINE HYDROCHLORIDE,None,PILOCARPINE,HYDROCHLORIDE,,,,,,
515,ACICLOVIR,None,ACICLOVIR,,,,,,,
516,ACICLOVIR,None,ACICLOVIR,,,,,,,
524,DILTIAZEM HYDROCHLORIDE,None,DILTIAZEM,HYDROCHLORIDE,,,,,,
528,NALOXONE HYDROCHLORIDE,None,NALOXONE,HYDROCHLORIDE,,,,,,
531,ALENDRONATE SODIUM,None,ALENDRONATE,SODIUM,,,,,,
532,POVIDONE IODINE,None,POVIDONE,IODINE,,,,,,
534,LOSARTAN POTASSIUM,None,LOSARTAN,POTASSIUM,,,,,,
541,MYCOPHENOLIC ACID,None,MYCOPHENOLIC,ACID,,,,,,
542,ADULT COLD PREPARATIONS,None,ADULT,COLD,PREPARATIONS,,,,,
548,SAPROPTERIN DIHYDROCHLORIDE,None,SAPROPTERIN,DIHYDROCHLORIDE,,,,,,
557,RINGERS,None,RINGERS,,,,,,,
558,PAMIDRONATE DISODIUM,None,PAMIDRONATE,DISODIUM,,,,,,
567,TETRACYCLINE HYDROCHLORIDE,None,TETRACYCLINE,HYDROCHLORIDE,,,,,,
573,SUCCINYLCHOLINE CHLORIDE,None,SUCCINYLCHOLINE,CHLORIDE,,,,,,
575,MEMANTINE HYDROCHLORIDE,None,MEMANTINE,HYDROCHLORIDE,,,,,,
576,FLUTICASONE PROPIONATE,None,FLUTICASONE,PROPIONATE,,,,,,
579,RIFAMPICIN,None,RIFAMPICIN,,,,,,,
580,RINGERS,None,RINGERS,,,,,,,
597,HEMATINIC,None,HEMATINIC,,,,,,,
601,LOSARTAN POTASSIUM,None,LOSARTAN,POTASSIUM,,,,,,
608,METOCLOPRAMIDE HYDROCHLORIDE,None,METOCLOPRAMIDE,HYDROCHLORIDE,,,,,,
610,SEVELAMER HYDROCHLORIDE,None,SEVELAMER,HYDROCHLORIDE,,,,,,
612,DICLOFENAC SODIUM,None,DICLOFENAC,SODIUM,,,,,,
617,URSODEOXYCHOLIC ACID,None,URSODEOXYCHOLIC,ACID,,,,,,
618,L-CARNITINE,None,L-CARNITINE,,,,,,,
619,DICLOFENAC SODIUM,None,DICLOFENAC,SODIUM,,,,,,
620,TOLTERODINE TARTRATE,None,TOLTERODINE,TARTRATE,,,,,,
622,ISOXSUPRINE HYDROCHLORIDE,None,ISOXSUPRINE,HYDROCHLORIDE,,,,,,
624,GEMCITABINE HYDROCHLORIDE,None,GEMCITABINE,HYDROCHLORIDE,,,,,,
626,LOPERAMIDE HYDROCHLORIDE,None,LOPERAMIDE,HYDROCHLORIDE,,,,,,
627,CLOMIPRAMINE HYDROCHLORIDE,None,CLOMIPRAMINE,HYDROCHLORIDE,,,,,,
628,VALPROATE SODIUM,None,VALPROATE,SODIUM,,,,,,
634,BIPERIDEN LACTATE,None,BIPERIDEN,LACTATE,,,,,,
636,METFORMIN HYDROCHLORIDE,None,METFORMIN,HYDROCHLORIDE,,,,,,
637,CLOMIPRAMINE HYDROCHLORIDE,None,CLOMIPRAMINE,HYDROCHLORIDE,,,,,,
638,VITAMIN D3,None,VITAMIN,D3,,,,,,
639,VITAMIN B1,None,VITAMIN,B1,,,,,,
641,GEMCITABINE HYDROCHLORIDE,None,GEMCITABINE,HYDROCHLORIDE,,,,,,
643,DICLOFENAC SODIUM,None,DICLOFENAC,SODIUM,,,,,,
645,VINORELBINE TARTRATE,None,VINORELBINE,TARTRATE,,,,,,
647,ADULT COLD PREPARATIONS,None,ADULT,COLD,PREPARATIONS,,,,,
648,VERAPAMIL HYDROCHLORIDE,None,VERAPAMIL,HYDROCHLORIDE,,,,,,
649,PHENAZOPYRIDINE HYDROCHLORIDE,None,PHENAZOPYRIDINE,HYDROCHLORIDE,,,,,,
653,FORMOTEROL FUMARATE,None,FORMOTEROL,FUMARATE,,,,,,
654,FLUVOXAMINE MALEATE,None,FLUVOXAMINE,MALEATE,,,,,,
660,PHENYTOIN SODIUM,None,PHENYTOIN,SODIUM,,,,,,
663,ACICLOVIR,None,ACICLOVIR,,,,,,,
664,CONTRACEPTIVE HD,None,CONTRACEPTIVE,HD,,,,,,
667,POVIDONE IODINE,None,POVIDONE,IODINE,,,,,,
669,METHYLPREDNISOLONE ACETATE,None,METHYLPREDNISOLONE,ACETATE,,,,,,
671,NITROPRUSSIDE SODIUM,None,NITROPRUSSIDE,SODIUM,,,,,,
672,QUETIAPINE FUMARATE,None,QUETIAPINE,FUMARATE,,,,,,
673,IMIPRAMINE HYDROCHLORIDE,None,IMIPRAMINE,HYDROCHLORIDE,,,,,,
674,PROPRANOLOL HYDROCHLORIDE,None,PROPRANOLOL,HYDROCHLORIDE,,,,,,
676,DOPAMINE HYDROCHLORIDE,None,DOPAMINE,HYDROCHLORIDE,,,,,,
678,ASA,None,ASA,,,,,,,
682,VITAMIN C,None,VITAMIN,C,,,,,,
686,VALPROATE SODIUM,None,VALPROATE,SODIUM,,,,,,
688,METFORMIN HYDROCHLORIDE,None,METFORMIN,HYDROCHLORIDE,,,,,,
690,METFORMIN HYDROCHLORIDE,None,METFORMIN,HYDROCHLORIDE,,,,,,
691,ADULT COLD PREPARATIONS,None,ADULT,COLD,PREPARATIONS,,,,,
694,FLUTICASONE PROPIONATE,None,FLUTICASONE,PROPIONATE,,,,,,
696,PEDIATRIC GRIPPE,None,PEDIATRIC,GRIPPE,,,,,,
699,FLUTICASONE PROPIONATE,None,FLUTICASONE,PROPIONATE,,,,,,
703,FORMOTEROL FUMARATE,None,FORMOTEROL,FUMARATE,,,,,,
713,ANTITHYMOCYTE IMMUNOGLOBULIN,None,ANTITHYMOCYTE,IMMUNOGLOBULIN,,,,,,
723,FORMOTEROL FUMARATE,None,FORMOTEROL,FUMARATE,,,,,,
733,FLUTICASONE PROPIONATE,None,FLUTICASONE,PROPIONATE,,,,,,
735,BUPROPION HYDROCHLORIDE,None,BUPROPION,HYDROCHLORIDE,,,,,,
736,BOTULINUM A TOXIN,None,BOTULINUM,A,TOXIN,,,,,
746,METFORMIN HYDROCHLORIDE,None,METFORMIN,HYDROCHLORIDE,,,,,,
748,SOLIFENACIN SUCCINATE,None,SOLIFENACIN,SUCCINATE,,,,,,
751,METFORMIN HYDROCHLORIDE,None,METFORMIN,HYDROCHLORIDE,,,,,,
752,VINORELBINE TARTRATE,None,VINORELBINE,TARTRATE,,,,,,
753,APOMORPHINE HYDROCHLORIDE,None,APOMORPHINE,HYDROCHLORIDE,,,,,,
756,METFORMIN HYDROCHLORIDE,None,METFORMIN,HYDROCHLORIDE,,,,,,
760,METFORMIN HYDROCHLORIDE,None,METFORMIN,HYDROCHLORIDE,,,,,,
765,FLUTICASONE PROPIONATE,None,FLUTICASONE,PROPIONATE,,,,,,
766,ENALAPRIL MALEATE,None,ENALAPRIL,MALEATE,,,,,,
768,SOLIFENACIN SUCCINATE,None,SOLIFENACIN,SUCCINATE,,,,,,
770,ADULT COLD PREPARATIONS,None,ADULT,COLD,PREPARATIONS,,,,,
774,VINORELBINE TARTRATE,None,VINORELBINE,TARTRATE,,,,,,
775,ENALAPRIL MALEATE,None,ENALAPRIL,MALEATE,,,,,,
776,MESALAZINE,None,MESALAZINE,,,,,,,
778,FORMOTEROL FUMARATE,None,FORMOTEROL,FUMARATE,,,,,,
782,APOMORPHINE HYDROCHLORIDE,None,APOMORPHINE,HYDROCHLORIDE,,,,,,
784,BOTULINUM A TOXIN,None,BOTULINUM,A,TOXIN,,,,,
788,BUPROPION HYDROCHLORIDE,None,BUPROPION,HYDROCHLORIDE,,,,,,
789,FLUTICASONE PROPIONATE,None,FLUTICASONE,PROPIONATE,,,,,,
796,PNEUMOCOCCAL VACCINE 10-VALANT,None,PNEUMOCOCCAL,VACCINE,10-VALANT,,,,,
800,FLUTICASONE PROPIONATE,None,FLUTICASONE,PROPIONATE,,,,,,
801,THIOPENTAL SODIUM,None,THIOPENTAL,SODIUM,,,,,,
803,METHOTREXATE SODIUM,None,METHOTREXATE,SODIUM,,,,,,
805,THIOPENTAL SODIUM,None,THIOPENTAL,SODIUM,,,,,,
807,FLUTICASONE PROPIONATE,None,FLUTICASONE,PROPIONATE,,,,,,
809,BOTULINUM A TOXIN,None,BOTULINUM,A,TOXIN,,,,,
810,EPIRUBICIN HYDROCHLORIDE,None,EPIRUBICIN,HYDROCHLORIDE,,,,,,
814,VALPROATE SODIUM,None,VALPROATE,SODIUM,,,,,,
819,EPIRUBICIN HYDROCHLORIDE,None,EPIRUBICIN,HYDROCHLORIDE,,,,,,
821,METHOTREXATE SODIUM,None,METHOTREXATE,SODIUM,,,,,,
822,DOXORUBICIN HYDROCHLORIDE,None,DOXORUBICIN,HYDROCHLORIDE,,,,,,
826,VINORELBINE TARTRATE,None,VINORELBINE,TARTRATE,,,,,,
830,PRAMIPEXOLE DIHYDROCHLORIDE,None,PRAMIPEXOLE,DIHYDROCHLORIDE,,,,,,
832,ERGOTAMINE TARTRATE,None,ERGOTAMINE,TARTRATE,,,,,,
836,SALBUTAMOL,None,SALBUTAMOL,,,,,,,
837,IPRATROPIUM BROMIDE,None,IPRATROPIUM,BROMIDE,,,,,,
840,MEGLUMINE COMPOUND,None,MEGLUMINE,COMPOUND,,,,,,
846,PHENOL GLYCERIN,None,PHENOL,GLYCERIN,,,,,,
847,DICLOFENAC DIETHYLAMMONIUM,None,DICLOFENAC,DIETHYLAMMONIUM,,,,,,
848,PANCREATIN,None,PANCREATIN,,,,,,,
851,CILASTATIN,None,CILASTATIN,,,,,,,
856,AMITRIPTYLINE HYDROCHLORIDE,None,AMITRIPTYLINE,HYDROCHLORIDE,,,,,,
862,SALICYLIC ACID COMPOUND,None,SALICYLIC,ACID,COMPOUND,,,,,
864,ICHTHYOL,None,ICHTHYOL,,,,,,,
866,AMITRIPTYLINE HYDROCHLORIDE,None,AMITRIPTYLINE,HYDROCHLORIDE,,,,,,
874,WARFARIN SODIUM,None,WARFARIN,SODIUM,,,,,,
876,CETIRIZINE HYDROCHLORIDE,None,CETIRIZINE,HYDROCHLORIDE,,,,,,
877,MEGLUMINE COMPOUND,None,MEGLUMINE,COMPOUND,,,,,,
880,CROMOLYN SODIUM,None,CROMOLYN,SODIUM,,,,,,
883,CHLORPHENIRAMINE MALEATE,None,CHLORPHENIRAMINE,MALEATE,,,,,,
892,VASELIN OFFECINAL,None,VASELIN,OFFECINAL,,,,,,
893,SALBUTAMOL,None,SALBUTAMOL,,,,,,,
895,PYRVINIUM,None,PYRVINIUM,,,,,,,
896,AMITRIPTYLINE HYDROCHLORIDE,None,AMITRIPTYLINE,HYDROCHLORIDE,,,,,,
899,BRIMONIDINE TARTRATE,None,BRIMONIDINE,TARTRATE,,,,,,
900,DEXAMETHASONE PHOSPHATE,None,DEXAMETHASONE,PHOSPHATE,,,,,,
907,PRAMIPEXOLE DIHYDROCHLORIDE,None,PRAMIPEXOLE,DIHYDROCHLORIDE,,,,,,
908,CROMOLYN SODIUM,None,CROMOLYN,SODIUM,,,,,,
909,ADULT COLD PREPARATIONS,None,ADULT,COLD,PREPARATIONS,,,,,
916,DIGESTIVE,None,DIGESTIVE,,,,,,,
917,PANCREATIN,None,PANCREATIN,,,,,,,
918,VITAMIN C,None,VITAMIN,C,,,,,,
924,FLUVOXAMINE MALEATE,None,FLUVOXAMINE,MALEATE,,,,,,
925,CYPROHEPTADINE HYDROCHLORIDE,None,CYPROHEPTADINE,HYDROCHLORIDE,,,,,,
927,ASA,None,ASA,,,,,,,
932,MONOBENZONE,None,MONOBENZONE,,,,,,,
933,TETRACYCLINE HYDROCHLORIDE,None,TETRACYCLINE,HYDROCHLORIDE,,,,,,
934,PHENOBARBITAL SODIUM,None,PHENOBARBITAL,SODIUM,,,,,,
935,FLUTICASONE PROPIONATE,None,FLUTICASONE,PROPIONATE,,,,,,
936,MESALAZINE,None,MESALAZINE,,,,,,,
943,BUSPIRONE HYDROCHLORIDE,None,BUSPIRONE,HYDROCHLORIDE,,,,,,
947,VERAPAMIL HYDROCHLORIDE,None,VERAPAMIL,HYDROCHLORIDE,,,,,,
957,PHENYLEPHRINE HYDROCHLORIDE,None,PHENYLEPHRINE,HYDROCHLORIDE,,,,,,
