,IR_generic_id,IR_generic_name,Ingredient,lexi_generic_id,lexi_generic_name,rows_in_db,catgs
2200,501,EPOETIN INJECTION PARENTERAL 2000 [iU]/1mL,EPOETIN,None,,Epoetin Alfa | Epoetin Beta | Epoetin Lambda | Epoetin Zeta,
1299,51703,"ARTIFICIAL TEARS (HYALURONATE SODIUM) SOLUTION, DROPS OPHTHALMIC 0.2 %",ARTIFICIAL TEARS (HYALURONATE SODIUM),None,,GoodSense Artificial Tears [OTC] | Artificial Tears [OTC],
1301,1026,POTASSIUM AMINOBENZOIC ACID (POTABA) TABLET ORAL 500 mg,POTASSIUM AMINOBENZOIC ACID (POTABA),None,,,
318,1291,VITAMIN A / VITAMIN D OINTMENT TOPICAL 850 [iU]/85 [iU]/1g 30 g,VITAMIN D,None,,Cal-Citrate Plus Vitamin D [OTC] | Calcium High Potency/Vitamin D [OTC] | Calcium Plus Vitamin D [OTC] | Liquid Calcium/Vitamin D [OTC] | AG-Vitamin D (CAN) | Aqueous Vitamin D [OTC] | Dialyvite Vitamin D 5000 [OTC] | JAMP-Vitamin D (CAN),
313,1814,VITAMIN D3 INJECTION PARENTERAL 300000 [iU]/1mL,VITAMIN D3,None,,APO-Alendronate/Vitamin D3 (CAN) | Dialyvite Vitamin D3 Max [OTC] | Pronutrients Vitamin D3 [OTC] | Vitamin D3 (SYN) | Vitamin D3 Ultra Potency [OTC],
1310,19926,"AMINO ACID 5% WITH ELECTROLYTE INJECTION, SOLUTION INTRAVENOUS 2.5 mg/4.45 mg/4.28 mg/2.2 mg/2.35 mg/2.1 mg/0.8 mg/3.1 mg/5.75 mg/1.5 mg/5.25 mg/6 mg/2.8 mg/3.6 mg/2.75 mg/1.15 mg/0.4 mg/1.361 mg/0.964 mg/0.14 mg/2.453 mg/0.508 mg/3.581 mg/1mL 500 mL",AMINO ACID 5% WITH ELECTROLYTE,None,,,
309,2205,"CO-AMOXICLAV POWDER, FOR SUSPENSION ORAL 200 mg/28.5 mg/5 mL 100 mL",CO-AMOXICLAV,None,,,
2194,802,MEGLUMINE COMPOUND INJECTION PARENTERAL 52.1 %/7.9 % 20 mL,MEGLUMINE COMPOUND,None,,Amidotrizoate Meglumine (INT) | Amidotrizoate Meglumine and Iodipamide Meglumine (INT) | Iotalamate Meglumine (INT) | Meglumine Iotroxate (SYN),
2202,52802,CO-AMOXICLAV TABLET ORAL,CO-AMOXICLAV,None,,,
1235,50404,PANCREATIN CAPSULE ORAL 10000 [iU],PANCREATIN,None,,,
353,1395,"ASA (ACETYLSALICYLIC ACID) TABLET, DELAYED RELEASE ORAL 80 mg",ASA (ACETYLSALICYLIC ACID),None,,Praxis ASA EC (CAN) | Rivasa (CAN) | Rivasa FC (CAN) | TARO-Dipyridamole w/ ASA (CAN) | TEVA-5 ASA (CAN),
355,96,ANTIHEMORRHOID OINTMENT RECTAL 50 mg/2.75 mg/35 mg/180 mg/1g 15 g,ANTIHEMORRHOID,None,,,
1141,52340,"AMINO ACID 10% (2) INJECTION, SOLUTION INTRAVENOUS 5 mg/8.9 mg/5.74 mg/3.12 mg/4.4 mg/4.7 mg/4.2 mg/1.6 mg/6.2 mg/11.5 mg/3 mg/10.5 mg/12 mg/5.6 mg/7.2 mg/5.5 mg/2.3 mg/0.4 mg/1mL 500 mL",AMINO ACID 10% (2),None,,,
1142,52384,TRACE METAL COMBINATION (2-2) INJECTION PARENTERAL 0.6958 mg/0.6815 mg/0.1979 mg/0.2046 mg/0.0053 mg/0.00789 mg/0.00242 mg/0.0166 mg/0.126 mg/1mL 10 mL,TRACE METAL COMBINATION (2-2),None,,,
1143,1099,"ANTI-D IMMUNOGLOBULIN INJECTION, POWDER, LYOPHILIZED, FOR SUSPENSION INTRAMUSCULAR 300 ug",ANTI-D IMMUNOGLOBULIN,None,,,
1148,56,"AMINO ACID 10% PAEDIATRIC (1) INJECTION, SOLUTION INTRAVENOUS 8 mg/13 mg/8.51 mg/3.12 mg/3.75 mg/4.4 mg/2.01 mg/9 mg/7.5 mg/4.76 mg/9.3 mg/4.15 mg/0.7 mg/2.3 mg/1.6 mg/9.71 mg/7.67 mg/5.176 mg/2.26 mg/0.4 mg/1 mL/1mL 250 mL",AMINO ACID 10% PAEDIATRIC (1),None,,,
391,1112,SALBUTAMOL (AS SULFATE) SYRUP ORAL 2 mg/5mL 120 mL,SALBUTAMOL (AS SULFATE),None,,APO-Salbutamol HFA (CAN) | DOM-Salbutamol (CAN) | PMS-Salbutamol (CAN) | RATIO-Salbutamol [DSC] (CAN) | Salbutamol (INT) | TEVA-Salbutamol (CAN) | TEVA-Salbutamol HFA (CAN) | Ipratropium and Salbutamol (INT) | Levosalbutamol (INT),
390,9897,SALBUTAMOL (AS SULFATE) SOLUTION RESPIRATORY 2.5 mg/2.5mL,SALBUTAMOL (AS SULFATE),None,,APO-Salbutamol HFA (CAN) | DOM-Salbutamol (CAN) | PMS-Salbutamol (CAN) | RATIO-Salbutamol [DSC] (CAN) | Salbutamol (INT) | TEVA-Salbutamol (CAN) | TEVA-Salbutamol HFA (CAN) | Ipratropium and Salbutamol (INT) | Levosalbutamol (INT),
1150,50390,IPRATROPIUM BROMIDE / SALBUTAMOL (AS SULFATE) SOLUTION RESPIRATORY 200 ug/1 mg/1mL 2.5 mL,SALBUTAMOL (AS SULFATE),None,,APO-Salbutamol HFA (CAN) | DOM-Salbutamol (CAN) | PMS-Salbutamol (CAN) | RATIO-Salbutamol [DSC] (CAN) | Salbutamol (INT) | TEVA-Salbutamol (CAN) | TEVA-Salbutamol HFA (CAN) | Ipratropium and Salbutamol (INT) | Levosalbutamol (INT),
1162,52215,PNEUMOCOCCAL VACCINE 23-VALANT INJECTION PARENTERAL  0.5 mL,PNEUMOCOCCAL VACCINE 23-VALANT,None,,,
1163,17247,"ETHERIFIED STARCH INJECTION, SOLUTION PARENTERAL 6 % 500 mL",ETHERIFIED STARCH,None,,,
1164,42,PROSTAGLANDIN E1 (ALPROSTADIL) INJECTION PARENTERAL 0.5 mg/1mL 1 mL,PROSTAGLANDIN E1 (ALPROSTADIL),None,,,
1176,11504,"ALBUMIN (HUMAN) INJECTION, SOLUTION PARENTERAL 5 % 250 mL",ALBUMIN (HUMAN),None,,,
377,51302,"CO-AMOXICLAV INJECTION, POWDER, FOR SOLUTION PARENTERAL 1000 mg/200 mg",CO-AMOXICLAV,None,,,
374,655,HYOSCINE-N-BUTYL BROMIDE INJECTION PARENTERAL 20 mg/1mL,HYOSCINE-N-BUTYL BROMIDE,None,,,
1203,52695,"INFLUENZA VACCINE, INACTIVATED, TETRAVALENT INJECTION PARENTERAL 1 {dose}","INFLUENZA VACCINE, INACTIVATED, TETRAVALENT",None,,,
366,17197,METFORMIN HYDROCHLORIDE / GLIBENCLAMIDE TABLET ORAL 500 mg/5 mg,GLIBENCLAMIDE,None,,Glibenclamide (INT) | Glibenclamide and Metformin (INT),
1205,50865,"AMINO ACID 5% (2) INJECTION, SOLUTION INTRAVENOUS 2.5 mg/3.7 mg/4.655 mg/2.15 mg/2.55 mg/2.2 mg/1 mg/3.1 mg/6 mg/1.5 mg/7 mg/5.5 mg/5.6 mg/3.25 mg/0.2 mg/0.5 mg/1mL 500 mL",AMINO ACID 5% (2),None,,,
1211,52277,CALCIPOTRIOL / BETAMETHASONE DIPROPIONATE GEL TOPICAL 0.005 %/0.064 % 30 g,CALCIPOTRIOL,None,,Calcipotriol (INT) | Calcipotriol and Betamethasone (INT),
359,8620,VITAMIN B6 INJECTION PARENTERAL 100 mg/1mL 3 mL,VITAMIN B6,None,,Neuro-K-250 Vitamin B6 [OTC] [DSC] | Vitamin B6 (SYN),
1219,9576,"PROTHROMBIN COMPLEX (CONCENTRATED) INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 500 [iU]",PROTHROMBIN COMPLEX (CONCENTRATED),None,,,
307,595,GLIBENCLAMIDE TABLET ORAL 5 mg,GLIBENCLAMIDE,None,,Glibenclamide (INT) | Glibenclamide and Metformin (INT),
306,20307,"CO-AMOXICLAV POWDER, FOR SUSPENSION ORAL 600 mg/42.9 mg/5mL 75 mL",CO-AMOXICLAV,None,,,
2192,8777,"PROSTAGLANDIN E1 (ALPROSTADIL) INJECTION, POWDER, FOR SOLUTION PARENTERAL 20 ug",PROSTAGLANDIN E1 (ALPROSTADIL),None,,,
1481,50348,ADULT COLD PREPARATIONS (4-2) TABLET ORAL 650 mg/10 mg/4 mg,ADULT COLD PREPARATIONS (4-2),None,,,
1490,17568,VALPROATE SODIUM INJECTION PARENTERAL 100 mg/1mL 5 mL,VALPROATE SODIUM,None,,,
1491,8358,FUSIDATE SODIUM OINTMENT TOPICAL 2 % 15 g,FUSIDATE SODIUM,None,,,
1496,7196,"HEMODIALYSIS II ACIDIC SOLUTION, CONCENTRATE HEMODIALYSIS 3710 meq/70 meq/35 meq/87.5 meq/70 g/122.5 meq/3902.5 meq/1L 4920 mL",HEMODIALYSIS II ACIDIC,None,,,
220,49,ALUMINIUM HYDROXIDE / MAGNESIUM HYDROXIDE / SIMETHICONE SUSPENSION ORAL 225 mg/200 mg/25 mg/5mL 240 mL,ALUMINIUM HYDROXIDE,None,,Aluminium Hydroxide (INT) | Aluminium Hydroxide and Magnesium Carbonate (INT) | Aluminium Hydroxide and Magnesium Hydroxide (INT) | Aluminium Hydroxide and Magnesium Trisilicate (INT),
219,17106,METFORMIN HYDROCHLORIDE / GLIBENCLAMIDE TABLET ORAL 500 mg/2.5 mg,GLIBENCLAMIDE,None,,Glibenclamide (INT) | Glibenclamide and Metformin (INT),
1506,5966,"INFLUENZA VACCINE, INACTIVATED, TRIVALENT INJECTION PARENTERAL 1 {dose}","INFLUENZA VACCINE, INACTIVATED, TRIVALENT",None,,,
1509,52263,EPOETIN INJECTION PARENTERAL 4000 [iU]/0.3mL,EPOETIN,None,,Epoetin Alfa | Epoetin Beta | Epoetin Lambda | Epoetin Zeta,
1514,19263,"FAMPRIDINE TABLET, EXTENDED RELEASE ORAL 10 mg",FAMPRIDINE,None,,Fampridine (INT) | PMS-Fampridine (CAN) | TARO-Fampridine (CAN),
212,1,ACETAMINOPHEN / CAFFEINE / ASA TABLET ORAL 162.5 mg/32.5 mg/325 mg,ASA,None,,Praxis ASA EC (CAN) | Rivasa (CAN) | Rivasa FC (CAN) | TARO-Dipyridamole w/ ASA (CAN) | TEVA-5 ASA (CAN),
1516,8396,"VALPROATE SODIUM INJECTION, POWDER, FOR SOLUTION PARENTERAL 400 mg",VALPROATE SODIUM,None,,,
1518,52264,EPOETIN INJECTION PARENTERAL 10000 [iU]/0.6mL,EPOETIN,None,,Epoetin Alfa | Epoetin Beta | Epoetin Lambda | Epoetin Zeta,
206,50,"ALUMINIUM HYDROXIDE / MAGNESIUM HYDROXIDE / SIMETHICONE TABLET, CHEWABLE ORAL 200 mg/200 mg/25 mg",ALUMINIUM HYDROXIDE,None,,Aluminium Hydroxide (INT) | Aluminium Hydroxide and Magnesium Carbonate (INT) | Aluminium Hydroxide and Magnesium Hydroxide (INT) | Aluminium Hydroxide and Magnesium Trisilicate (INT),
1525,12544,"COAGULATION FACTOR VIII (HUMAN PLASMA DERIVED) INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 500 [iU]",COAGULATION FACTOR VIII (HUMAN PLASMA DERIVED),None,,,
1532,9572,CALCIUM FOLINATE INJECTION PARENTERAL 10 mg/1mL 20 mL,CALCIUM FOLINATE,None,,"Calcium Acetate | Calcium Acetate and Magnesium Carbonate | Calcium Carbonate | Calcium Carbonate and Magnesium Carbonate | Calcium Carbonate and Magnesium Hydroxide | Calcium Carbonate and Simethicone | Calcium Carbonate and Vitamin D | Calcium Carbonate, Magnesium Hydroxide, and Simethicone | Calcium Chloride | Calcium Citrate | Calcium Dobesilate | Calcium Dobesilate and Lidocaine | Calcium Glubionate | Calcium Glubionate and Calcium Lactobionate | Calcium Gluconate | Calcium Hydroxylapatite | Calcium Lactate | Calcium Polystyrene Sulfonate",
203,52460,ANTIHISTAMINE DECONGESTANT (2) TABLET ORAL 4 mg/10 mg,ANTIHISTAMINE DECONGESTANT (2),None,,,
1550,1206,TETRACYCLINE HYDROCHLORIDE OINTMENT OPHTHALMIC 1 % 3 g,TETRACYCLINE HYDROCHLORIDE,None,,"Tetracycline (Systemic) | Tetracycline (Topical) | Tetracycline Periodontal Fibers | Tetracycline, Bismuth Subsalicylate, and Metronidazole",
1551,183,BURN OINTMENT OINTMENT TOPICAL 30 %/50 % 30 g,BURN OINTMENT,None,,Alka-Seltzer Heartburn + Gas [OTC] | Heartburn Relief [OTC] | Heartburn Relief Max St [OTC] | Heartburn Treatment 24 Hour [OTC] [DSC] | Alocane Emergency Burn Max Str [OTC],
1553,601,GLYCINE SOLUTION IRRIGATION 1.5 % 3000 mL,GLYCINE,None,,,
1595,52701,"ADULT COLD PREPARATIONS (4-13) POWDER, FOR SOLUTION ORAL 500 mg/10 mg/4 mg",ADULT COLD PREPARATIONS (4-13),None,,,
1483,51880,ALUMINIUM HYDROXIDE / MAGNESIUM HYDROXIDE / SIMETHICONE SUSPENSION ORAL 225 mg/200 mg/25 mg/5mL 10 mL,ALUMINIUM HYDROXIDE,None,,Aluminium Hydroxide (INT) | Aluminium Hydroxide and Magnesium Carbonate (INT) | Aluminium Hydroxide and Magnesium Hydroxide (INT) | Aluminium Hydroxide and Magnesium Trisilicate (INT),
2179,55,AMILORIDE / HYROCHLOROTHIAZIDE TABLET ORAL 5 mg/50 mg,HYROCHLOROTHIAZIDE,None,,,
299,956,PEDIATRIC GRIPPE SYRUP ORAL 0.67 mg/10 mg/5mL 60 mL,PEDIATRIC GRIPPE,None,,Humira Pediatric Crohns Start | Humira Pen-Pediatric UC Start | Malarone Pediatric (CAN) | Pediatric Cough & Cold [OTC] | D-Vite Pediatric [OTC] | Pediatric Formula Cough/Congst [OTC] | Avaxim Pediatric (CAN) | Fluad Pediatric (CAN) | LidoDose Pediatric Bulk Pack [OTC] | NovaFerrum Pediatric Drops [OTC] | Mictoryl Pediatric (CAN),
1478,15465,"ADULT COLD PREPARATIONS (1-3) CAPSULE, LIQUID FILLED ORAL 200 mg/5 mg",ADULT COLD PREPARATIONS (1-3),None,,,
1349,113,"ASPARAGINASE INJECTION, POWDER, FOR SOLUTION PARENTERAL 10000 [iU]",ASPARAGINASE,None,,Asparaginase (E. coli) | Asparaginase (Erwinia [Recombinant]) | Asparaginase (Erwinia),
1351,52223,VALPROATE SODIUM INJECTION PARENTERAL 100 mg/1mL 4 mL,VALPROATE SODIUM,None,,,
1362,52696,"SIMETHICONE (DIMETHICONE ACTIVATED) TABLET, CHEWABLE ORAL 125 mg",SIMETHICONE (DIMETHICONE ACTIVATED),None,,Alumina-Magnesia-Simethicone [OTC] | Simethicone Drops Infants [OTC] | Simethicone Ultra Strength [OTC],
286,925,"NYSTATIN POWDER, FOR SUSPENSION ORAL 100000 [iU]/1mL",NYSTATIN,None,,"Nystatin (Oral) | Nystatin (Topical) | Nystatin and Triamcinolone | Nystatin, Hydrocortisone, Dimethicone, and Benzalkonium Chloride",
1371,201,CALCIUM PANTOTHENATE TABLET ORAL 100 mg,CALCIUM PANTOTHENATE,None,,"Calcium Acetate | Calcium Acetate and Magnesium Carbonate | Calcium Carbonate | Calcium Carbonate and Magnesium Carbonate | Calcium Carbonate and Magnesium Hydroxide | Calcium Carbonate and Simethicone | Calcium Carbonate and Vitamin D | Calcium Carbonate, Magnesium Hydroxide, and Simethicone | Calcium Chloride | Calcium Citrate | Calcium Dobesilate | Calcium Dobesilate and Lidocaine | Calcium Glubionate | Calcium Glubionate and Calcium Lactobionate | Calcium Gluconate | Calcium Hydroxylapatite | Calcium Lactate | Calcium Polystyrene Sulfonate",
276,2206,"CO-AMOXICLAV POWDER, FOR SUSPENSION ORAL 400 mg/57 mg/5 mL 100 mL",CO-AMOXICLAV,None,,,
275,654,HYOSCINE-N-BUTYL BROMIDE TABLET ORAL 10 mg,HYOSCINE-N-BUTYL BROMIDE,None,,,
269,337,CO-AMOXICLAV TABLET ORAL 250 mg/125 mg,CO-AMOXICLAV,None,,,
1403,14111,TRACE METAL COMBINATION (3) INJECTION PARENTERAL 521 ug/53.7 ug/3.6 ug/4.38 ug/126 ug/1.31 ug/1mL 10 mL,TRACE METAL COMBINATION (3),None,,,
1406,51997,IGM-ENRICHED HUMAN (IMMUNE GLOBULIN) INJECTION PARENTERAL 50 mg/1mL 50 mL,IGM-ENRICHED HUMAN (IMMUNE GLOBULIN),None,,,
1411,17761,"POLYETHYLENE GLYCOL - ELECTROLYTE 2 POWDER, FOR SOLUTION ORAL 17.6 mmol/1.46 g/1.68 g/0.745 g/5.68 g 70 g",POLYETHYLENE GLYCOL - ELECTROLYTE 2,None,,,
1414,1334,"BARIUM SULFATE POWDER, FOR SUSPENSION ORAL 135 g",BARIUM SULFATE,None,,,
1415,955,PATENT BLUE V INJECTION PARENTERAL 25 mg/1mL 2 mL,PATENT BLUE V,None,,,
1431,52092,IGM-ENRICHED HUMAN (IMMUNE GLOBULIN) INJECTION PARENTERAL 50 mg/1mL 100 mL,IGM-ENRICHED HUMAN (IMMUNE GLOBULIN),None,,,
249,50610,"DOXORUBICIN HYDROCHLORIDE (PEGYLATED) INJECTABLE, LIPOSOMAL PARENTERAL 2 mg/1mL 10 mL",DOXORUBICIN HYDROCHLORIDE (PEGYLATED),None,,,
1434,568,FURAZOLIDONE TABLET ORAL 100 mg,FURAZOLIDONE,None,,,
2180,18378,COLLODION SOLUTION TOPICAL 40 mg/0.75 mL/0.25 mL/1000 mL 250 mL,COLLODION,None,,,
241,47,ALUMINIUM HYDROXIDE / MAGNESIUM HYDROXIDE SUSPENSION ORAL 225 mg/200 mg/5 mL 240 mL,ALUMINIUM HYDROXIDE,None,,Aluminium Hydroxide (INT) | Aluminium Hydroxide and Magnesium Carbonate (INT) | Aluminium Hydroxide and Magnesium Hydroxide (INT) | Aluminium Hydroxide and Magnesium Trisilicate (INT),
1460,50580,"ADULT COLD PREPARATIONS (7-13) CAPSULE, LIQUID FILLED ORAL 10 mg/2 mg/5 mg/500 mg",ADULT COLD PREPARATIONS (7-13),None,,,
1139,1139,BICARBONATE CONCENTRATE POWDER NOT APPLICABLE 650 g,BICARBONATE CONCENTRATE,None,,,
2218,7197,"HEMODIALYSIS I SOLUTION, CONCENTRATE INTRAVENOUS 4725 meq/35 meq/35 meq/87.5 meq/3657 meq/1225 meq/70 g/1000 mL 4920 mL",HEMODIALYSIS I,None,,,
1605,1355,PETHIDINE HYDROCHLORIDE INJECTION PARENTERAL 50 mg/1mL 2 mL,PETHIDINE HYDROCHLORIDE,None,,Pethidine (INT) | Pethidine and Promethazine (INT),
2255,19923,"AMINO ACID 5% WITH ELECTROLYTE INJECTION, SOLUTION INTRAVENOUS 2.5 mg/4.45 mg/4.28 mg/2.2 mg/2.35 mg/2.1 mg/0.8 mg/3.1 mg/5.75 mg/1.5 mg/5.25 mg/6 mg/2.8 mg/3.6 mg/2.75 mg/1.15 mg/0.4 mg/1.361 mg/0.964 mg/0.14 mg/2.453 mg/0.508 mg/3.581 mg/1mL 250 mL",AMINO ACID 5% WITH ELECTROLYTE,None,,,
557,1104,"RINGERS INJECTION, SOLUTION INTRAVENOUS 147 meq/4.5 meq/4 meq/156 meq/1L 1000 mL",RINGERS,None,,,
779,4003,IRON (AS SUCROSE) INJECTION INTRAVENOUS 20 mg/1mL 5 mL,IRON (AS SUCROSE),None,,Iron Acetyltransferrin | Iron Dextran Complex | Iron Sucrose,
553,79,"AMPHOTERICIN B INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 50 mg",AMPHOTERICIN B,None,,Amphotericin B (Lipid Complex) | Amphotericin B (Liposomal) | Amphotericin B (Oral) | Amphotericin B Cholesteryl Sulfate Complex | Amphotericin B Deoxycholate,
784,17768,"BOTULINUM A TOXIN INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 100 [iU]",BOTULINUM A TOXIN,None,,,
796,52315,PNEUMOCOCCAL VACCINE 10-VALANT INJECTION PARENTERAL  0.5 mL,PNEUMOCOCCAL VACCINE 10-VALANT,None,,,
809,21097,"BOTULINUM A TOXIN INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 50 [iU]",BOTULINUM A TOXIN,None,,,
2304,50221,POTASSIUM AMINOBENZOIC ACID (POTABA) POWDER ORAL 3 g,POTASSIUM AMINOBENZOIC ACID (POTABA),None,,,
542,11045,ADULT COLD PREPARATIONS (5-1) TABLET ORAL 325 mg/15 mg/5 mg,ADULT COLD PREPARATIONS (5-1),None,,,
541,11607,"MYCOPHENOLIC ACID TABLET, DELAYED RELEASE ORAL 360 mg",MYCOPHENOLIC ACID,None,,APO-Mycophenolic Acid (CAN) | MAR-Mycophenolic Acid (CAN),
814,6170,VALPROATE SODIUM SYRUP ORAL 200 mg/5mL 300 mL,VALPROATE SODIUM,None,,,
2219,51951,"FACTOR IX INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 600 [iU]",FACTOR IX,None,,"Factor IX (Human) | Factor IX (Recombinant [Albumin Fusion Protein]) | Factor IX (Recombinant [Fc Fusion Protein]) | Factor IX (Recombinant [Glycopegylated]) | Factor IX (Recombinant) | Factor IX Complex (Human) [(Factors II, IX, X)]",
2305,4965,EPOETIN INJECTION PARENTERAL 10000 [iU]/1mL 1 mL,EPOETIN,None,,Epoetin Alfa | Epoetin Beta | Epoetin Lambda | Epoetin Zeta,
2253,51012,"FACTOR VIII / VON WILLEBRAND FACTOR INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 500 [iU]/500 [iU]",FACTOR VIII,None,,Factor VIII (Human) (SYN) | Factor VIII (Recombinant [Fc Fusion Protein]) (SYN) | Factor VIII (Recombinant [Pegylated]) (SYN) | Factor VIII (Recombinant [Porcine Sequence]) (SYN) | Factor VIII (Recombinant) (SYN) | Factor VIII (Human)/von Willebrand Factor (SYN) | von Willebrand Factor/Factor VIII Complex (SYN) | vWF - von Willebrand Factor/Factor VIII Complex (SYN),
2252,13238,"COAGULATION FACTOR VIII (HUMAN PLASMA DERIVED) INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 250 [iU]",COAGULATION FACTOR VIII (HUMAN PLASMA DERIVED),None,,,
835,958,"PENICILLIN G BENZATHIN INJECTION, POWDER, FOR SOLUTION PARENTERAL 1200000 U",PENICILLIN G BENZATHIN,None,,Penicillin G Benzathine | Penicillin G Benzathine and Penicillin G Procaine,
836,15068,"SALBUTAMOL (AS SULFATE) SPRAY, METERED RESPIRATORY 100 ug/1{dose} 200 {dose}",SALBUTAMOL (AS SULFATE),None,,APO-Salbutamol HFA (CAN) | DOM-Salbutamol (CAN) | PMS-Salbutamol (CAN) | RATIO-Salbutamol [DSC] (CAN) | Salbutamol (INT) | TEVA-Salbutamol (CAN) | TEVA-Salbutamol HFA (CAN) | Ipratropium and Salbutamol (INT) | Levosalbutamol (INT),
840,799,MEGLUMINE COMPOUND INJECTION PARENTERAL 66 %/10 % 20 mL,MEGLUMINE COMPOUND,None,,Amidotrizoate Meglumine (INT) | Amidotrizoate Meglumine and Iodipamide Meglumine (INT) | Iotalamate Meglumine (INT) | Meglumine Iotroxate (SYN),
2250,52095,"AMINO ACID 10% WITH ELECTROLYTE INJECTION, SOLUTION INTRAVENOUS 5 mg/8.9 mg/8.56 mg/4.4 mg/4.7 mg/4.2 mg/1.6 mg/6.2 mg/11.5 mg/3 mg/10.5 mg/12 mg/5.6 mg/7.2 mg/5.5 mg/2.3 mg/0.4 mg/2.858 mg/0.36 mg/2.453 mg/0.508 mg/3.581 mg/1mL 500 mL",AMINO ACID 10% WITH ELECTROLYTE,None,,,
848,12312,PANCREATIN CAPSULE ORAL 25000 [iU],PANCREATIN,None,,,
851,1876,"IMIPENEM / CILASTATIN INJECTION, POWDER, FOR SOLUTION PARENTERAL 500 mg/500 mg",CILASTATIN,None,,"Imipenem and Cilastatin for Injection (CAN) | Imipenem and Cilastatin for Injection, USP (CAN) | RAN-Imipenem-Cilastatin (CAN)",
2266,52206,"INSULIN BIPHASIC LISPRO 25/75 INJECTION, SUSPENSION PARENTERAL 100 [iU]/1mL 3 mL",INSULIN BIPHASIC LISPRO 25/75,None,,,
770,7216,ADULT COLD PREPARATIONS (1-1) TABLET ORAL 500 mg/5 mg,ADULT COLD PREPARATIONS (1-1),None,,,
2271,52207,"INSULIN BIPHASIC LISPRO 50/50 INJECTION, SUSPENSION PARENTERAL 100 [iU]/1mL 3 mL",INSULIN BIPHASIC LISPRO 50/50,None,,,
736,3623,"BOTULINUM A TOXIN INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 500 [iU]",BOTULINUM A TOXIN,None,,,
628,1275,"VALPROATE SODIUM TABLET, DELAYED RELEASE ORAL 200 mg",VALPROATE SODIUM,None,,,
