,IR_generic_id,IR_generic_name,Ingredient,lexi_generic_id,lexi_generic_name,rows_in_db,catgs
1254,1166,"SPECTINOMYCIN INJECTION, POWDER, FOR SOLUTION PARENTERAL 2 g",SPECTINOMYCIN,None,,,
1278,2149,"LIPID INFUSION 20% (2) INJECTION, SOLUTION INTRAVENOUS 5 %/6 %/6 %/3 % 250 mL",LIPID INFUSION 20% (2),None,,,
1279,14113,TRACE METAL COMBINATION (2-1) INJECTION PARENTERAL 5.33 ug/0.34 mg/0.54 mg/99 ug/16.6 ug/0.21 mg/4.85 ug/6.9 ug/1.36 mg/1mL 10 mL,TRACE METAL COMBINATION (2-1),None,,,
1320,19926,"AMINO ACID 5% WITH ELECTROLYTE INJECTION, SOLUTION INTRAVENOUS 2.5 mg/4.45 mg/4.28 mg/2.2 mg/2.35 mg/2.1 mg/0.8 mg/3.1 mg/5.75 mg/1.5 mg/5.25 mg/6 mg/2.8 mg/3.6 mg/2.75 mg/1.15 mg/0.4 mg/1.361 mg/0.964 mg/0.14 mg/2.453 mg/0.508 mg/3.581 mg/1mL 500 mL",AMINO ACID 5% WITH ELECTROLYTE,None,,,
1343,505,ESTRAMUSTINE SODIUM PHOSPHATE CAPSULE ORAL 140 mg,ESTRAMUSTINE SODIUM PHOSPHATE,None,,,
1416,51997,IGM-ENRICHED HUMAN (IMMUNE GLOBULIN) INJECTION PARENTERAL 50 mg/1mL 50 mL,IGM-ENRICHED HUMAN (IMMUNE GLOBULIN),None,,,
1688,51943,SIMPLE EYE OINTMENT OPHTHALMIC  3.5 g,SIMPLE EYE,None,,,
1421,17761,"POLYETHYLENE GLYCOL - ELECTROLYTE 2 POWDER, FOR SOLUTION ORAL 17.6 mmol/1.46 g/1.68 g/0.745 g/5.68 g 70 g",POLYETHYLENE GLYCOL - ELECTROLYTE 2,None,,,
1424,1334,"BARIUM SULFATE POWDER, FOR SUSPENSION ORAL 135 g",BARIUM SULFATE,None,,,
1425,955,PATENT BLUE V INJECTION PARENTERAL 25 mg/1mL 2 mL,PATENT BLUE V,None,,,
1441,52092,IGM-ENRICHED HUMAN (IMMUNE GLOBULIN) INJECTION PARENTERAL 50 mg/1mL 100 mL,IGM-ENRICHED HUMAN (IMMUNE GLOBULIN),None,,,
1444,568,FURAZOLIDONE TABLET ORAL 100 mg,FURAZOLIDONE,None,,,
1470,50580,"ADULT COLD PREPARATIONS (7-13) CAPSULE, LIQUID FILLED ORAL 10 mg/2 mg/5 mg/500 mg",ADULT COLD PREPARATIONS (7-13),None,,,
1488,15465,"ADULT COLD PREPARATIONS (1-3) CAPSULE, LIQUID FILLED ORAL 200 mg/5 mg",ADULT COLD PREPARATIONS (1-3),None,,,
1491,50348,ADULT COLD PREPARATIONS (4-2) TABLET ORAL 650 mg/10 mg/4 mg,ADULT COLD PREPARATIONS (4-2),None,,,
1506,7196,"HEMODIALYSIS II ACIDIC SOLUTION, CONCENTRATE HEMODIALYSIS 3710 meq/70 meq/35 meq/87.5 meq/70 g/122.5 meq/3902.5 meq/1L 4920 mL",HEMODIALYSIS II ACIDIC,None,,,
1516,5966,"INFLUENZA VACCINE, INACTIVATED, TRIVALENT INJECTION PARENTERAL 1 {dose}","INFLUENZA VACCINE, INACTIVATED, TRIVALENT",None,,,
205,52460,ANTIHISTAMINE DECONGESTANT (2) TABLET ORAL 4 mg/10 mg,ANTIHISTAMINE DECONGESTANT (2),None,,,
1563,601,GLYCINE SOLUTION IRRIGATION 1.5 % 3000 mL,GLYCINE,None,,,
1605,52701,"ADULT COLD PREPARATIONS (4-13) POWDER, FOR SOLUTION ORAL 500 mg/10 mg/4 mg",ADULT COLD PREPARATIONS (4-13),None,,,
1149,1139,BICARBONATE CONCENTRATE POWDER NOT APPLICABLE 650 g,BICARBONATE CONCENTRATE,None,,,
1132,1165,"LIPID INFUSION 10% INJECTION, SOLUTION INTRAVENOUS 50 mg/50 mg/1mL 500 mL",LIPID INFUSION 10%,None,,,
1126,20081,"AMINO ACID 10% (1) INJECTION, SOLUTION INTRAVENOUS 5 g/7.4 g/9.31 g/4.3 g/5.1 g/4.4 g/2 g/6.2 g/12 g/3 g/14 g/11 g/11.2 g/6.5 g/0.4 g/1 g/1000mL 500 mL",AMINO ACID 10% (1),None,,,
1104,18819,PNEUMOCOCCAL VACCINE 13-VALENTS INJECTION PARENTERAL  0.5 mL,PNEUMOCOCCAL VACCINE 13-VALENTS,None,,,
278,654,HYOSCINE-N-BUTYL BROMIDE TABLET ORAL 10 mg,HYOSCINE-N-BUTYL BROMIDE,None,,,
363,96,ANTIHEMORRHOID OINTMENT RECTAL 50 mg/2.75 mg/35 mg/180 mg/1g 15 g,ANTIHEMORRHOID,None,,,
382,655,HYOSCINE-N-BUTYL BROMIDE INJECTION PARENTERAL 20 mg/1mL,HYOSCINE-N-BUTYL BROMIDE,None,,,
417,97,ANTIHEMORRHOID SUPPOSITORY RECTAL 60 mg/5 mg/50 mg/400 mg,ANTIHEMORRHOID,None,,,
446,741,LEVAMISOLE TABLET ORAL 50 mg,LEVAMISOLE,None,,,
467,153,"BETAMETHASONE LA (BETAMETHASONE AS DISODIUM PHOSPHATE / BETAMETHASONE ACETATE) INJECTION, SUSPENSION, EXTENDED RELEASE PARENTERAL 3 mg/3 mg/1mL",BETAMETHASONE LA (BETAMETHASONE AS DISODIUM PHOSPHATE,None,,,
551,11045,ADULT COLD PREPARATIONS (5-1) TABLET ORAL 325 mg/15 mg/5 mg,ADULT COLD PREPARATIONS (5-1),None,,,
566,1104,"RINGERS INJECTION, SOLUTION INTRAVENOUS 147 meq/4.5 meq/4 meq/156 meq/1L 1000 mL",RINGERS,None,,,
589,4864,"RINGERS INJECTION, SOLUTION INTRAVENOUS 147 meq/4.5 meq/4 meq/156 meq/1L 500 mL",RINGERS,None,,,
606,622,HEMATINIC CAPSULE ORAL 15 ug/350 mg/150 mg/1 mg,HEMATINIC,None,,,
656,5951,ADULT COLD PREPARATIONS (4-3) TABLET ORAL 325 mg/5 mg/2 mg,ADULT COLD PREPARATIONS (4-3),None,,,
700,52368,ADULT COLD PREPARATIONS (4-1) TABLET ORAL 500 mg/5 mg/25 mg,ADULT COLD PREPARATIONS (4-1),None,,,
745,3623,"BOTULINUM A TOXIN INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 500 [iU]",BOTULINUM A TOXIN,None,,,
779,7216,ADULT COLD PREPARATIONS (1-1) TABLET ORAL 500 mg/5 mg,ADULT COLD PREPARATIONS (1-1),None,,,
793,17768,"BOTULINUM A TOXIN INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 100 [iU]",BOTULINUM A TOXIN,None,,,
805,52315,PNEUMOCOCCAL VACCINE 10-VALANT INJECTION PARENTERAL  0.5 mL,PNEUMOCOCCAL VACCINE 10-VALANT,None,,,
818,21097,"BOTULINUM A TOXIN INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 50 [iU]",BOTULINUM A TOXIN,None,,,
873,2137,ICHTHYOL OINTMENT TOPICAL 10 % 15 g,ICHTHYOL,None,,,
109,11405,CHORIOGONADOTROPIN ALFA INJECTION PARENTERAL 500 ug/1mL 0.5 mL,CHORIOGONADOTROPIN ALFA,None,,,
901,52202,VASELIN OFFECINAL OINTMENT TOPICAL  100 g,VASELIN OFFECINAL,None,,,
904,1085,PYRVINIUM SUSPENSION ORAL 50 mg/5mL 60 mL,PYRVINIUM,None,,,
918,50564,"ADULT COLD PREPARATIONS (7-8) CAPSULE, LIQUID FILLED ORAL 15 mg/2 mg/5 mg/500 mg",ADULT COLD PREPARATIONS (7-8),None,,,
925,435,"DIGESTIVE TABLET, DELAYED RELEASE ORAL 40 mg/6000 [iU]/10500 [iU]/600 [iU]",DIGESTIVE,None,,,
941,864,MONOBENZONE CREAM TOPICAL 20 % 30 g,MONOBENZONE,None,,,
969,50342,ADULT COLD PREPARATIONS (1-2) TABLET ORAL 325 mg/5 mg,ADULT COLD PREPARATIONS (1-2),None,,,
991,569,FURAZOLIDONE SUSPENSION ORAL 50 mg/15mL 120 mL,FURAZOLIDONE,None,,,
1082,5728,"COAGULATION FACTOR VIII (HUMAN PLASMA DERIVED) INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 1000 [iU]",COAGULATION FACTOR VIII (HUMAN PLASMA DERIVED),None,,,
1670,1738,"CALCITONIN, SALMON SPRAY NASAL 200 [iU]/1{Puff} 14 {Puff}","CALCITONIN, SALMON",None,,,
1535,12544,"COAGULATION FACTOR VIII (HUMAN PLASMA DERIVED) INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 500 [iU]",COAGULATION FACTOR VIII (HUMAN PLASMA DERIVED),None,,,
1737,52725,ADULT COLD PREPARATIONS (5-5) TABLET ORAL 15 mg/5 mg/325 mg,ADULT COLD PREPARATIONS (5-5),None,,,
2021,52229,ADULT COLD PREPARATION (6) TABLET ORAL 500 mg/2 mg/15 mg,ADULT COLD PREPARATION (6),None,,,
2027,51906,"ARTIFICIAL TEARS (HYALURONATE SODIUM / TS-POLYSACCARIDE) SOLUTION, DROPS OPHTHALMIC 0.2 %/0.2 % 10 mL",TS-POLYSACCARIDE),None,,,
2035,21266,"SURFACTANT (BOVINE LIPID EXTRACT) INJECTION, SUSPENSION TRANSTRACHEAL 27 mg/1mL 5 mL",SURFACTANT (BOVINE LIPID EXTRACT),None,,,
2044,19,"ACTIVATED PROTHROMBIN COMPLEX (CONCENTRATED) INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 500 [iU]",ACTIVATED PROTHROMBIN COMPLEX (CONCENTRATED),None,,,
2097,51718,TRICLOCARBAN SOAP TOPICAL 1 % 100 g,TRICLOCARBAN,None,,,
2106,2470,BIOTIN TABLET ORAL 5 mg,BIOTIN,None,,,
2140,52903,ADULT COLD PREPARATIONS (7-22) TABLET ORAL 15 mg/2 mg/5 mg/325 mg,ADULT COLD PREPARATIONS (7-22),None,,,
2171,52906,PYRVINIUM SUSPENSION ORAL 50 mg/5mL 50 mL,PYRVINIUM,None,,,
22,6536,"BIOTIN INJECTION, SOLUTION INTRAMUSCULAR 5 mg/1mL 1 mL",BIOTIN,None,,,
2190,55,AMILORIDE / HYROCHLOROTHIAZIDE TABLET ORAL 5 mg/50 mg,HYROCHLOROTHIAZIDE,None,,,
20,51952,ADULT COLD PREPARATIONS (7-23) TABLET ORAL 15 mg/2 mg/5 mg/500 mg,ADULT COLD PREPARATIONS (7-23),None,,,
2191,18378,COLLODION SOLUTION TOPICAL 40 mg/0.75 mL/0.25 mL/1000 mL 250 mL,COLLODION,None,,,
2203,8777,"PROSTAGLANDIN E1 (ALPROSTADIL) INJECTION, POWDER, FOR SOLUTION PARENTERAL 20 ug",PROSTAGLANDIN E1 (ALPROSTADIL),None,,,
2230,7197,"HEMODIALYSIS I SOLUTION, CONCENTRATE INTRAVENOUS 4725 meq/35 meq/35 meq/87.5 meq/3657 meq/1225 meq/70 g/1000 mL 4920 mL",HEMODIALYSIS I,None,,,
2233,1049,PRILOCAINE / FELYPRESSIN INJECTION PARENTERAL 30 mg/0.54 ug/1mL 1.8 mL,FELYPRESSIN,None,,,
2263,52095,"AMINO ACID 10% WITH ELECTROLYTE INJECTION, SOLUTION INTRAVENOUS 5 mg/8.9 mg/8.56 mg/4.4 mg/4.7 mg/4.2 mg/1.6 mg/6.2 mg/11.5 mg/3 mg/10.5 mg/12 mg/5.6 mg/7.2 mg/5.5 mg/2.3 mg/0.4 mg/2.858 mg/0.36 mg/2.453 mg/0.508 mg/3.581 mg/1mL 500 mL",AMINO ACID 10% WITH ELECTROLYTE,None,,,
2265,13238,"COAGULATION FACTOR VIII (HUMAN PLASMA DERIVED) INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 250 [iU]",COAGULATION FACTOR VIII (HUMAN PLASMA DERIVED),None,,,
2268,19923,"AMINO ACID 5% WITH ELECTROLYTE INJECTION, SOLUTION INTRAVENOUS 2.5 mg/4.45 mg/4.28 mg/2.2 mg/2.35 mg/2.1 mg/0.8 mg/3.1 mg/5.75 mg/1.5 mg/5.25 mg/6 mg/2.8 mg/3.6 mg/2.75 mg/1.15 mg/0.4 mg/1.361 mg/0.964 mg/0.14 mg/2.453 mg/0.508 mg/3.581 mg/1mL 250 mL",AMINO ACID 5% WITH ELECTROLYTE,None,,,
2279,52206,"INSULIN BIPHASIC LISPRO 25/75 INJECTION, SUSPENSION PARENTERAL 100 [iU]/1mL 3 mL",INSULIN BIPHASIC LISPRO 25/75,None,,,
2284,52207,"INSULIN BIPHASIC LISPRO 50/50 INJECTION, SUSPENSION PARENTERAL 100 [iU]/1mL 3 mL",INSULIN BIPHASIC LISPRO 50/50,None,,,
2292,52754,ADULT COLD PREPARATIONS (3-8) TABLET ORAL,ADULT COLD PREPARATIONS (3-8),None,,,
2332,51965,ADULT COLD PREPARATIONS (4-4) TABLET ORAL 325 mg/10 mg/25 mg,ADULT COLD PREPARATIONS (4-4),None,,,
2333,7198,"HEMODIALYSIS II SOLUTION, CONCENTRATE INTRAVENOUS 4725 meq/35 meq/70 meq/87.5 meq/3692.5 meq/1225 meq/70 g/1000 mL 4920 mL",HEMODIALYSIS II,None,,,
2361,998,"PHOSPHATE, POTASSIUM MONOBASIC TABLET ORAL 500 mg","PHOSPHATE, POTASSIUM MONOBASIC",None,,,
2374,52879,"COAGULATION FACTOR VIII (RECOMBINANT) INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 500 [iU]",COAGULATION FACTOR VIII (RECOMBINANT),None,,,
2375,690,PERITONEAL DIALYSIS I SOLUTION PARENTERAL 13.62 g/132 meq/3.5 meq/1.5 meq/35 meq/102 meq/1000 mL 2 L,PERITONEAL DIALYSIS I,None,,,
2376,693,PERITONEAL DIALYSIS II SOLUTION PARENTERAL 22.7 g/1025.67 meq/3.5 meq/1.5 meq/35 meq/132 meq/1000 mL 2 L,PERITONEAL DIALYSIS II,None,,,
2378,694,PERITONEAL DIALYSIS III SOLUTION PARENTERAL 38.6 g/5.67 g/0.257 g/0.152 g/3.922 g/1000 mL 2 L,PERITONEAL DIALYSIS III,None,,,
2026,51906,"ARTIFICIAL TEARS (HYALURONATE SODIUM / TS-POLYSACCARIDE) SOLUTION, DROPS OPHTHALMIC 0.2 %/0.2 % 10 mL",ARTIFICIAL TEARS (HYALURONATE SODIUM,None,,,
2037,50061,FLUPENTHIXOL DECANOATE INJECTION PARENTERAL 20 mg/1mL,FLUPENTHIXOL DECANOATE,None,,,
2006,533,FIBRINOLYSIN / DESOXYRIBONUCLEASE OINTMENT TOPICAL 1 [iU]/666 [iU],DESOXYRIBONUCLEASE,None,,,
1928,51958,"POLYETHYLENE GLYCOL - ELECTROLYTE 1 POWDER, FOR SOLUTION ORAL 13.125 g/0.3507 g/0.1785 g/0.0466 g 13.87 g",POLYETHYLENE GLYCOL - ELECTROLYTE 1,None,,,
1759,1415,"CALCITONIN, SALMON SPRAY NASAL 100 [iU]/1 {dose} 16 {Puff}","CALCITONIN, SALMON",None,,,
1790,1544,INSULIN BIPHASIC ISOPHANE INJECTION PARENTERAL 70 %/30 % 10 mL,INSULIN BIPHASIC ISOPHANE,None,,,
1792,1737,"ACTIVATED PROTHROMBIN COMPLEX (CONCENTRATED) INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 1000 [iU]",ACTIVATED PROTHROMBIN COMPLEX (CONCENTRATED),None,,,
1798,52625,"ADULT COLD PREPARATIONS (4-9) CAPSULE, LIQUID FILLED ORAL 250 mg/12.5 mg/5 mg",ADULT COLD PREPARATIONS (4-9),None,,,
1814,2238,GLYCINE SOLUTION IRRIGATION 1.5 % 1000 mL,GLYCINE,None,,,
1837,13710,"ADULT COLD PREPARATIONS (4-11) CAPSULE, LIQUID FILLED ORAL 325 mg/2 mg/5 mg",ADULT COLD PREPARATIONS (4-11),None,,,
1842,52071,ADULT COLD PREPARATIONS (4-7) TABLET ORAL 500 mg/10 mg/25 mg,ADULT COLD PREPARATIONS (4-7),None,,,
1843,6423,"RINGERS INJECTION, SOLUTION INTRAVENOUS 147 meq/4.5 meq/4 meq/156 meq/1L 250 mL",RINGERS,None,,,
1856,6968,BALANCED SALT SOLUTION (2) SOLUTION OPHTHALMIC 0.64 mg/0.075 mg/0.03 mg/0.048 mg/0.17 mg/0.39 mg/1mL 500 mL,BALANCED SALT SOLUTION (2),None,,,
2004,51905,"ARTIFICIAL TEARS (HYALURONATE SODIUM / TS-POLYSACCARIDE) SOLUTION, DROPS OPHTHALMIC 0.2 %/0.2 % 0.5 mL",TS-POLYSACCARIDE),None,,,
1866,24400,"BOTULINUM A TOXIN INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 200 [iU]",BOTULINUM A TOXIN,None,,,
1904,318,CLOFIBRATE CAPSULE ORAL 500 mg,CLOFIBRATE,None,,,
1864,52327,ADULT COLD PREPARATIONS (5-3) TABLET ORAL 500 mg/15 mg/5 mg,ADULT COLD PREPARATIONS (5-3),None,,,
251,50610,"DOXORUBICIN HYDROCHLORIDE (PEGYLATED) INJECTABLE, LIPOSOMAL PARENTERAL 2 mg/1mL 10 mL",DOXORUBICIN HYDROCHLORIDE (PEGYLATED),None,,,
1992,19172,"BOTULINUM A TOXIN INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL 300 [iU]",BOTULINUM A TOXIN,None,,,
2003,51905,"ARTIFICIAL TEARS (HYALURONATE SODIUM / TS-POLYSACCARIDE) SOLUTION, DROPS OPHTHALMIC 0.2 %/0.2 % 0.5 mL",ARTIFICIAL TEARS (HYALURONATE SODIUM,None,,,
1937,18983,SODIUM PHOSPHATE DIBASIC HEPTAHYDRATE / SODIUM PHOSPHATE MONOBASIC MONOHYDRATE ENEMA RECTAL 7 g/19 g/118mL,SODIUM PHOSPHATE MONOBASIC MONOHYDRATE,None,,,
1947,52417,"ADULT COLD PREPARATIONS (1-4) POWDER, FOR SOLUTION ORAL 650 mg/10 mg",ADULT COLD PREPARATIONS (1-4),None,,,
1951,52419,"ADULT COLD PREPARATIONS (5-4) POWDER, FOR SOLUTION ORAL 650 mg/10 mg/20 mg",ADULT COLD PREPARATIONS (5-4),None,,,
1961,52416,"ADULT COLD PREPARATIONS (4-12) POWDER, FOR SOLUTION ORAL 650 mg/10 mg/25 mg",ADULT COLD PREPARATIONS (4-12),None,,,
1997,50059,FLUPENTHIXOL (AS DIHYDROCHLORIDE) TABLET ORAL 3 mg,FLUPENTHIXOL (AS DIHYDROCHLORIDE),None,,,
1936,18983,SODIUM PHOSPHATE DIBASIC HEPTAHYDRATE / SODIUM PHOSPHATE MONOBASIC MONOHYDRATE ENEMA RECTAL 7 g/19 g/118mL,SODIUM PHOSPHATE DIBASIC HEPTAHYDRATE,None,,,
325,379,DANAZOL CAPSULE ORAL 100 mg,DANAZOL,996,Danazol,Danazol,996|3598|3815|3867
334,380,DANAZOL CAPSULE ORAL 200 mg,DANAZOL,996,Danazol,Danazol,996|3598|3815|3867
1106,2259,DALTEPARIN SODIUM INJECTION PARENTERAL 25000 [iU]/1mL 0.2 mL,DALTEPARIN SODIUM,993,Dalteparin,Dalteparin,3616|3617|3858
1524,19263,"FAMPRIDINE TABLET, EXTENDED RELEASE ORAL 10 mg",FAMPRIDINE,992,Dalfampridine,Fampridine (INT) | PMS-Fampridine (CAN) | TARO-Fampridine (CAN),992|3799|3802|3803
1380,378,"DACTINOMYCIN INJECTION, POWDER, FOR SOLUTION PARENTERAL 0.5 mg",DACTINOMYCIN,990,DACTINomycin,DACTINomycin,3633|3875|3929|3950|3951|3976|3977
1806,16164,"ADALIMUMAB INJECTION, SOLUTION PARENTERAL 50 mg/1mL 0.8 mL",ADALIMUMAB,99,Adalimumab,Adalimumab,99|3644|3669|3847|3877|3924
733,50003,DACLATASVIR / SOFOSBUVIR TABLET ORAL 60 mg/400 mg,DACLATASVIR,988,Daclatasvir,Daclatasvir,988|3651|3816|3817|3818|3831|3947|3972|3976|3977
1460,376,"DACARBAZINE INJECTION, POWDER, FOR SOLUTION PARENTERAL 100 mg",DACARBAZINE,987,Dacarbazine,Dacarbazine,987|3633|3724|3727|3728|3799|3802|3803|3875|3929
1616,377,"DACARBAZINE INJECTION, POWDER, FOR SOLUTION PARENTERAL 200 mg",DACARBAZINE,987,Dacarbazine,Dacarbazine,987|3633|3724|3727|3728|3799|3802|3803|3875|3929
1781,13583,DABIGATRAN ETEXILATE (AS MESYLATE) CAPSULE ORAL 110 mg,DABIGATRAN ETEXILATE (AS MESYLATE),985,Dabigatran Etexilate,Dabigatran Etexilate,985|3616|3918|3973|3974|3975
2129,19438,DABIGATRAN ETEXILATE (AS MESYLATE) CAPSULE ORAL 150 mg,DABIGATRAN ETEXILATE (AS MESYLATE),985,Dabigatran Etexilate,Dabigatran Etexilate,985|3616|3918|3973|3974|3975
1815,13584,DABIGATRAN ETEXILATE (AS MESYLATE) CAPSULE ORAL 75 mg,DABIGATRAN ETEXILATE (AS MESYLATE),985,Dabigatran Etexilate,Dabigatran Etexilate,985|3616|3918|3973|3974|3975
2355,1454,"CYTARABINE INJECTION, POWDER, FOR SOLUTION PARENTERAL 1 g",CYTARABINE,982,Cytarabine (Conventional),Cytarabine (Conventional) | Cytarabine (Liposomal),982|3577|3633|3825|3875|3929
2069,52393,"CYTARABINE INJECTION, POWDER, FOR SOLUTION PARENTERAL 100 mg",CYTARABINE,982,Cytarabine (Conventional),Cytarabine (Conventional) | Cytarabine (Liposomal),982|3577|3633|3825|3875|3929
825,50464,"CYTARABINE INJECTION, SOLUTION, CONCENTRATE PARENTERAL 50 mg/1mL 20 mL",CYTARABINE,982,Cytarabine (Conventional),Cytarabine (Conventional) | Cytarabine (Liposomal),982|3577|3633|3825|3875|3929
829,375,"CYTARABINE INJECTION, SOLUTION, CONCENTRATE PARENTERAL 20 mg/1mL 5 mL",CYTARABINE,982,Cytarabine (Conventional),Cytarabine (Conventional) | Cytarabine (Liposomal),982|3577|3633|3825|3875|3929
1191,52394,"CYTARABINE INJECTION, SOLUTION PARENTERAL 100 mg/1mL 10 mL",CYTARABINE,982,Cytarabine (Conventional),Cytarabine (Conventional) | Cytarabine (Liposomal),982|3577|3633|3825|3875|3929
1088,1453,CYSTEAMINE CAPSULE ORAL 150 mg,CYSTEAMINE,981,Cysteamine (Systemic),Cysteamine (Ophthalmic) | Cysteamine (Systemic),981
1643,373,CYPROTERONE ACETATE TABLET ORAL 50 mg,CYPROTERONE ACETATE,978,Cyproterone,Cyproterone,978|3606|3819|3820|3867|3989
84,374,CYPROTERONE COMPOUND TABLET ORAL 2 mg/0.035 mg,CYPROTERONE COMPOUND,978,Cyproterone,Cyproterone,978|3606|3819|3820|3867|3989
934,52813,CYPROHEPTADINE HYDROCHLORIDE SOLUTION ORAL 2 mg/5mL 200 mL,CYPROHEPTADINE HYDROCHLORIDE,975,Cyproheptadine,Cyproheptadine,975|3615|3630|3702
202,372,CYPROHEPTADINE HYDROCHLORIDE TABLET ORAL 4 mg,CYPROHEPTADINE HYDROCHLORIDE,975,Cyproheptadine,Cyproheptadine,975|3615|3630|3702
2166,52811,CYPROHEPTADINE HYDROCHLORIDE SOLUTION ORAL 2 mg/5mL 150 mL,CYPROHEPTADINE HYDROCHLORIDE,975,Cyproheptadine,Cyproheptadine,975|3615|3630|3702
515,19472,CYPROHEPTADINE HYDROCHLORIDE SOLUTION ORAL 2 mg/5mL 60 mL,CYPROHEPTADINE HYDROCHLORIDE,975,Cyproheptadine,Cyproheptadine,975|3615|3630|3702
2286,6685,"CICLOSPORIN INJECTION, SOLUTION INTRAVENOUS 50 mg/1mL 5 mL",CICLOSPORIN,974,CycloSPORINE (Systemic),Ciclosporin (Ophthalmic) (INT) | Ciclosporin (systemic) (INT),974|3651|3675|3777|3815|3816|3817|3818|3822|3877|3947|3972|3973|3974|3977|3986
1861,288,CICLOSPORIN CAPSULE ORAL 25 mg,CICLOSPORIN,974,CycloSPORINE (Systemic),Ciclosporin (Ophthalmic) (INT) | Ciclosporin (systemic) (INT),974|3651|3675|3777|3815|3816|3817|3818|3822|3877|3947|3972|3973|3974|3977|3986
1851,1758,CICLOSPORIN CAPSULE ORAL 50 mg,CICLOSPORIN,974,CycloSPORINE (Systemic),Ciclosporin (Ophthalmic) (INT) | Ciclosporin (systemic) (INT),974|3651|3675|3777|3815|3816|3817|3818|3822|3877|3947|3972|3973|3974|3977|3986
2270,289,CICLOSPORIN SOLUTION ORAL 100 mg/1mL 50 mL,CICLOSPORIN,974,CycloSPORINE (Systemic),Ciclosporin (Ophthalmic) (INT) | Ciclosporin (systemic) (INT),974|3651|3675|3777|3815|3816|3817|3818|3822|3877|3947|3972|3973|3974|3977|3986
2273,1452,"CICLOSPORIN INJECTION, SOLUTION INTRAVENOUS 50 mg/1mL 1 mL",CICLOSPORIN,974,CycloSPORINE (Systemic),Ciclosporin (Ophthalmic) (INT) | Ciclosporin (systemic) (INT),974|3651|3675|3777|3815|3816|3817|3818|3822|3877|3947|3972|3973|3974|3977|3986
